,race_id,driver_id,constructor_id,grid_position,final_position,race_points_scored,race_laps_completed,status_id,year,round,circuit_id,driver_nationality,constructor_nationality,driver_season_points,driver_season_position,driver_season_wins,constructor_season_points,constructor_season_position,constructor_season_wins,q1_time,q2_time,q3_time
0,18,1,1,1,1.0,10.0,58,1,2008,1,1,British,British,10.0,1.0,1.0,14.0,1.0,1.0,1:26.572,1:25.187,1:26.714
1,18,2,2,5,2.0,8.0,58,1,2008,1,1,German,German,8.0,2.0,0.0,8.0,3.0,0.0,1:25.960,1:25.518,1:27.236
2,18,3,3,7,3.0,6.0,58,1,2008,1,1,German,British,6.0,3.0,0.0,9.0,2.0,0.0,1:26.295,1:26.059,1:28.687
3,18,4,4,11,4.0,5.0,58,1,2008,1,1,Spanish,French,5.0,4.0,0.0,5.0,4.0,0.0,1:26.907,1:26.188,
4,18,5,1,3,5.0,4.0,58,1,2008,1,1,Finnish,British,4.0,5.0,0.0,14.0,1.0,1.0,1:25.664,1:25.452,1:27.079
5,18,6,3,13,6.0,3.0,57,11,2008,1,1,Japanese,British,3.0,6.0,0.0,9.0,2.0,0.0,1:26.891,1:26.413,
6,18,7,5,17,7.0,2.0,55,5,2008,1,1,French,Italian,2.0,7.0,0.0,2.0,5.0,0.0,1:27.446,,
7,18,8,6,15,8.0,1.0,53,5,2008,1,1,Finnish,Italian,1.0,8.0,0.0,1.0,6.0,0.0,1:26.140,,
8,18,9,2,2,,0.0,47,4,2008,1,1,Polish,German,,,,8.0,3.0,0.0,1:26.103,1:25.315,1:26.869
9,18,10,7,18,,0.0,43,3,2008,1,1,German,Japanese,,,,,,,1:26.919,1:26.164,1:29.593
10,18,11,8,19,,0.0,32,7,2008,1,1,Japanese,Japanese,,,,,,,1:28.208,,
11,18,12,4,20,,0.0,30,8,2008,1,1,Brazilian,French,,,,5.0,4.0,0.0,1:28.330,,
12,18,13,6,4,,0.0,29,5,2008,1,1,Brazilian,Italian,,,,1.0,6.0,0.0,1:25.994,1:25.691,1:27.178
